iata,icao,name,location,time,country
PKH,LGHL,Porto Cheli Airport,"Porto Cheli (Portochelion), Greece",Unknown,Greece
PKJ,MGPG,Playa Grande Airport[1],"Playa Grande, Guatemala",Unknown,Guatemala
PKK,VYPU,Pakokku Airport[1],"Pakokku, Myanmar",Unknown,Myanmar
PKM,Not Available,Port Kaituma Airport[1],"Port Kaituma, Guyana",Unknown,Guyana
PKN,WAOI,Iskandar Airport[1],"Pangkalan Bun (Pangkalanbuun), Indonesia",Unknown,Indonesia
PKO,DBBP,Parakou Airport,"Parakou, Benin",Unknown,Benin
PKP,NTGP,Puka-Puka Airport[1],"Puka-Puka, Tuamotus, French Polynesia",Unknown,French Polynesia
PKR,VNPK,Pokhara Airport,"Pokhara, Nepal",Unknown,Nepal
PKT,YKPT,Port Keats Airfield,"Wadeye (Port Keats), Northern Territory, Australia",Unknown,Australia
PKU,WIBB,Sultan Syarif Kasim II International Airport,"Pekanbaru, Indonesia",Unknown,Indonesia
PKV,ULOO,Pskov Airport,"Pskov, Pskov Oblast, Russia",Unknown,Russia
PKW,FBSP,Selebi-Phikwe Airport,"Selebi-Phikwe, Botswana",Unknown,Botswana
PKX,ZBAD,Beijing Daxing International Airport,"Beijing, China",Unknown,China
PKY,WAGG,Tjilik Riwut Airport[1],"Palangkaraya, Indonesia",Unknown,Indonesia
PKZ,VLPS,Pakse International Airport,"Pakse, Laos",Unknown,Laos
PLA,Not Available,Planadas Airport[1],"Planadas, Colombia",Unknown,Colombia
PLC,Not Available,Planeta Rica Airport[1],"Planeta Rica, Colombia",Unknown,Colombia
PLD,MRCR,Carrillo Airport[1] (Playa Samara/Carrillo Airport),"Sámara / Puerto Carrillo, Costa Rica",Unknown,Costa Rica
PLE,Not Available,Paiela Airport,"Paiela, Papua New Guinea",Unknown,Papua New Guinea
PLF,FTTP,Pala Airport[1],"Pala, Chad",Unknown,Chad
PLH,EGHD,Plymouth City Airport,"Plymouth, England, United Kingdom",Unknown,United Kingdom
PLI,Not Available,Palm Island Airport[1],"Palm Island, Saint Vincent and the Grenadines",Unknown,Saint Vincent and the Grenadines
PLJ,MZPL,Placencia Airport,"Placencia, Belize",Unknown,Belize
PLK,KPLK,M. Graham Clark Downtown Airport,"Point Lookout, Missouri, United States",Unknown,United States
PLL,SBMN,Manaus Air Force Base,"Manaus, Amazonas, Brazil",Unknown,Brazil
PLM,WIPP,Sultan Mahmud Badaruddin II International Airport,"Palembang, Indonesia",Unknown,Indonesia
PLN,KPLN,Pellston Regional Airport (Emmet County),"Pellston, Michigan, United States",Unknown,United States
PLO,YPLC,Port Lincoln Airport,"Port Lincoln, South Australia, Australia",Unknown,Australia
PLP,MPLP,Captain Ramon Xatruch Airport[1],"La Palma, Panama",Unknown,Panama
PLQ,EYPA,Palanga International Airport,"Palanga, Lithuania",Unknown,Lithuania
PLR,KPLR,St. Clair County Airport,"Pell City, Alabama, United States",Unknown,United States
PLS,MBPV,Providenciales International Airport,"Providenciales, British Overseas Territory of Turks and Caicos Islands",Unknown,British Overseas Territory of Turks and Caicos Islands
PLT,SKPL,Plato Airport[1],"Plato, Colombia",Unknown,Colombia
PLU,SBBH,Belo Horizonte/Pampulha – Carlos Drummond de Andrade Airport,"Belo Horizonte, Minas Gerais, Brazil",Unknown,Brazil
PLV,UKHP,Poltava Airport[1],"Poltava, Ukraine",Unknown,Ukraine
PLW,WAFF,Mutiara Airport[1],"Palu, Indonesia",Unknown,Indonesia
PLX,UASS,Semey Airport,"Semey, Kazakhstan",Unknown,Kazakhstan
PLY,Not Available,Plymouth Municipal Airport (FAA: C65),"Plymouth, Indiana, United States",Unknown,United States
PLZ,FAPE,Port Elizabeth Airport,"Port Elizabeth, South Africa",Unknown,South Africa
PMA,HTPE,Pemba Airport[1],"Pemba Island, Tanzania",Unknown,Tanzania
PMB,KPMB,Pembina Municipal Airport,"Pembina, North Dakota, United States",Unknown,United States
PMC,SCTE,El Tepual Airport,"Puerto Montt, Chile",Unknown,Chile
PMD,KPMD,Palmdale Regional Airport,"Palmdale, California, United States",Unknown,United States
PMF,LIMP,Parma Airport (Giuseppe Verdi Airport),"Parma, Emilia-Romagna, Italy",Unknown,Italy
PMG,SBPP,Ponta Porã International Airport,"Ponta Porã, Mato Grosso do Sul, Brazil",Unknown,Brazil
PMH,KPMH,Greater Portsmouth Regional Airport,"Portsmouth, Ohio, United States",Unknown,United States
PMI,LEPA,Palma de Mallorca Airport,"Palma de Mallorca, Balearic Islands, Spain",Unknown,Spain
PMK,YPAM,Palm Island Airport[1],"Palm Island, Queensland, Australia",Unknown,Australia
PML,PAAL,Port Moller Airport (FAA: 1AK3),"Cold Bay, Alaska, United States",Unknown,United States
PMN,Not Available,Pumani Airport[1],"Pumani, Papua New Guinea",Unknown,Papua New Guinea
PMO,LICJ,Falcone–Borsellino Airport (Punta Raisi Airport),"Palermo, Sicily, Italy",Unknown,Italy
PMP,Not Available,Pimaga Airport,"Pimaga, Papua New Guinea",Unknown,Papua New Guinea
PMQ,SAWP,Perito Moreno Airport,"Perito Moreno, Santa Cruz, Argentina",Unknown,Argentina
PMR,NZPM,Palmerston North Airport,"Palmerston North, New Zealand",Unknown,New Zealand
PMS,OSPR,Palmyra Airport,"Palmyra (Tadmur), Syria",Unknown,Syria
PMT,Not Available,Paramakatoi Airport[1],"Paramakatoi, Guyana",Unknown,Guyana
PMV,SVMG,Santiago Mariño Caribbean International Airport,"Porlamar, Venezuela",Unknown,Venezuela
PMW,SBPJ,Palmas–Brigadeiro Lysias Rodrigues Airport,"Palmas, Tocantins, Brazil",Unknown,Brazil
PMX,Not Available,Metropolitan Airport[1] (FAA: 13MA),"Palmer, Massachusetts, United States",Unknown,United States
PMY,SAVY,El Tehuelche Airport,"Puerto Madryn, Chubut, Argentina",Unknown,Argentina
PMZ,MRPM,Palmar Sur Airport,"Palmar Sur, Costa Rica",Unknown,Costa Rica
PNA,LEPP,Pamplona Airport,"Pamplona, Navarre, Spain",Unknown,Spain
PNB,SBPN,Porto Nacional Airport[1],"Porto Nacional, Tocantins, Brazil",Unknown,Brazil
PNC,KPNC,Ponca City Regional Airport,"Ponca City, Oklahoma, United States",Unknown,United States
PND,MZPG,Punta Gorda Airport[1],"Punta Gorda, Belize",Unknown,Belize
PNE,KPNE,Northeast Philadelphia Airport,"Philadelphia, Pennsylvania, United States",Unknown,United States
PNG,SSPG,Santos Dumont Airport[1],"Paranaguá, Paraná, Brazil",Unknown,Brazil
PNH,VDPP,Phnom Penh International Airport,"Phnom Penh, Cambodia",Unknown,Cambodia
PNI,PTPN,Pohnpei International Airport,"Pohnpei, Federated States of Micronesia",Unknown,Federated States of Micronesia
PNJ,Not Available,Penglai Shahekou Airport[1],"Penglai, Shandong, China",Unknown,China
